count,site,yr,vegPeriod
4,site22,2011,245.25125
2,site22,2000,245.25125
2,site22,2007,245.25125
2,site22,2013,245.25125
2,site22,2001,245.25125
3,site22,1997,245.25125
4,site22,2014,245.25125
6,site22,2010,245.25125
1,site22,2012,245.25125
3,site22,1996,245.25125
4,site22,1999,245.25125
6,site22,2008,245.25125
2,site22,2017,245.25125
0,site22,2005,245.25125
1,site22,2016,245.25125
5,site22,2006,245.25125
1,site22,2003,245.25125
0,site23,2012,250.79875
0,site23,2013,250.79875
1,site23,2006,250.79875
2,site23,2004,250.79875
2,site23,2009,250.79875
1,site23,2017,250.79875
1,site23,1997,250.79875
0,site23,2001,250.79875
1,site23,2003,250.79875
2,site23,2014,250.79875
0,site23,2011,250.79875
1,site23,2008,250.79875
2,site23,2016,250.79875
0,site23,2010,250.79875
2,site23,2005,250.79875
0,site23,1999,250.79875
0,site23,2007,250.79875
2,site23,2002,250.79875
1,site23,1996,250.79875
0,site23,2000,250.79875
0,site24,2002,244.98125
6,site24,2016,244.98125
2,site24,2008,244.98125
1,site24,2009,244.98125
2,site24,2011,244.98125
0,site24,2007,244.98125
0,site24,2006,244.98125
2,site24,2017,244.98125
2,site24,2013,244.98125
0,site24,2012,244.98125
0,site24,2005,244.98125
0,site24,2003,244.98125
0,site24,2001,244.98125
0,site24,2004,244.98125
6,site24,2014,244.98125
0,site24,2015,244.98125
1,site24,2010,244.98125
0,site25,2004,249.84
0,site25,2008,249.84
2,site25,2010,249.84
0,site25,2016,249.84
1,site25,1998,249.84
0,site25,2003,249.84
3,site25,1997,249.84
2,site25,1996,249.84
0,site25,2007,249.84
2,site25,2005,249.84
1,site25,2014,249.84
0,site25,2011,249.84
0,site25,2012,249.84
0,site25,2009,249.84
0,site25,2000,249.84
1,site25,2013,249.84
0,site25,2002,249.84
2,site25,2017,249.84
0,site25,2006,249.84
2,site25,1999,249.84
0,site25,2001,249.84
4,site25,2015,249.84
4,site26,2006,233.9225
1,site26,2005,233.9225
8,site26,2003,233.9225
6,site26,2017,233.9225
2,site26,2016,233.9225
3,site26,1999,233.9225
3,site26,2013,233.9225
4,site26,2002,233.9225
4,site26,2000,233.9225
3,site26,2011,233.9225
4,site26,2007,233.9225
5,site26,2014,233.9225
8,site26,2009,233.9225
6,site26,2012,233.9225
8,site26,2001,233.9225
6,site26,2008,233.9225
4,site26,1998,233.9225
4,site27,2008,236.09
5,site27,2005,236.09
3,site27,2006,236.09
6,site27,2017,236.09
2,site27,2004,236.09
5,site27,2016,236.09
3,site27,2003,236.09
2,site27,2010,236.09
2,site27,2009,236.09
6,site27,2002,236.09
3,site27,2015,236.09
2,site27,2014,236.09
5,site27,2011,236.09
1,site27,2013,236.09
3,site27,2007,236.09
1,site28,2008,229.23125
0,site28,2012,229.23125
0,site28,2004,229.23125
0,site28,2016,229.23125
3,site28,2010,229.23125
1,site28,2014,229.23125
1,site28,2003,229.23125
1,site28,2015,229.23125
1,site28,2009,229.23125
